brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,i5,2.7,4.5,NVIDIA RTX,DDR4,16,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255,363.4,2021,1,0,0,0,0,0,0,0,12,9.5,22560000
Acer,i5,2.7,4.5,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255,363.4,2021,1,0,0,0,0,0,0,0,12,10.5,28800000
Acer,i7,2.3,4.6,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255,363.4,2021,1,0,0,0,0,0,0,0,12,10,25910000
Acer,i7,2.3,4.6,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255,363.4,2021,1,0,0,0,0,0,0,0,12,8.5,25100000
Acer,i7,2.3,4.6,NVIDIA RTX,DDR4,16,3200,512,15.6,2560 x 1440,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.3,22.9,255,363,2021,1,0,0,0,0,0,0,0,12,11,35270000
Acer,i5,1.6,3.4,Intel,DDR4,4,2400,256,14,1920 x 1080,HD,1,Nhựa,Windows,TrueHarmony,,,1.7,20.8,230,335,2018,0,0,1,0,0,0,0,0,12,6,13060000
Acer,i5,1.6,3.4,Intel,DDR4,8,2400,256,13.3,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,4.1,Wi-Fi 5,1.56,15.9,226,324,2018,1,0,1,1,0,0,0,0,12,6,16680000
Acer,pentium,1.1,2.7,Intel,DDR4,4,2133,,14,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,5,Wi-Fi 5,1.3,14.95,228,323,2018,0,0,0,1,0,0,0,0,12,6,8700000
Acer,i5,1.6,3.9,Intel,DDR4,8,2133,256,13.3,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,4,Wi-Fi 5,1.35,15.9,214,308.8,2019,1,0,0,1,0,0,0,0,12,3,17700000
Acer,i5,2.4,4.2,Intel,LPDDR4X,16,4266,512,13.5,2256 x 1504,HD,0,Kim loại,Windows,DTS,5.1,Wi-Fi 6,1.19,15.95,233.88,302.5,2020,1,1,0,1,0,0,0,0,12,7,18620000
Acer,i5,2.4,4.2,Intel,LPDDR4X,16,4266,512,14,1920 x 1080,HD,0,Kim loại,Windows,DTS,5.1,Wi-Fi 6,1.19,15.9,212.2,322.8,2021,1,1,0,1,0,0,0,0,12,8.5,16870000
Acer,i5,1.6,3.4,Intel,DDR4,4,2400,1024,14,1920 x 1080,HD,3,Kim loại,Windows,TrueHarmony,4,Wi-Fi 5,1.5,18.7,,,2018,1,0,0,1,0,0,0,0,12,3,12020000
Acer,i5,1.6,3.9,Intel,DDR4,4,2133,256,14,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,5,Wi-Fi 5,1.5,17.95,228,323,2018,1,0,0,1,0,0,0,0,12,3,13280000
Acer,i5,1,3.6,Intel,DDR4,8,2666,512,14,1920 x 1080,HD,0,Hợp kim,Windows,TrueHarmony,5,Wi-Fi 6,1.19,15.95,217,319.5,2019,1,0,0,1,0,0,0,0,12,3,14010000
Acer,i5,1.6,3.4,Intel,DDR4,4,2400,1024,15.6,1920 x 1080,HD,1,Kim loại,Windows,Stereo,4.2,Wi-Fi 5,1.7,18.9,255,370,2019,1,0,0,1,0,0,0,0,12,4.5,13000000
Acer,i3,2.2,3.4,Intel,DDR4,4,2400,1024,15.6,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,4,Wi-Fi 5,1.7,16.9,243,359,2018,1,0,0,1,0,0,0,0,12,3.5,9770000
Acer,i5,1.6,3.4,Intel,DDR4,8,2133,256,15.6,1920 x 1080,HD,1,Kim loại,Windows,TrueHarmony,4.2,Wi-Fi 5,1.7,16.9,243,359,2018,1,0,0,1,0,0,0,0,12,6,13050000
Acer,i5,1,3.6,NVIDIA MX,DDR4,8,2666,512,14,1920 x 1080,HD,0,Hợp kim,Windows,TrueHarmony,5,Wi-Fi 6,1.19,15.95,217,319.5,2019,1,1,0,1,0,0,0,0,12,3,14750000
Acer,i7,1.8,4,Intel,DDR3,8,2133,256,14,1920 x 1080,HD,0,Hợp kim,Windows,TrueHarmony,,,0.94,14.9,228,329,2018,1,0,1,1,0,0,0,0,12,3,19770000
Acer,i5,1.6,3.9,Intel,DDR4,8,2400,256,14,1920 x 1080,HD,0,Hợp kim,Windows,Dolby,5,Wi-Fi 5,0.97,14.9,228,329,2018,1,0,1,1,0,0,0,0,12,3,17000000
